date,IDR,USD
2022-10-13,6958283.83,452.65
2022-10-08,4151371.23,271.49
2022-10-06,2427480.19,159.37
2022-10-02,4820357.47,316.54
2022-09-30,2566025.43,167.67
2022-09-30,12890118.93,842.27
2022-09-28,850895.55,56.07
2022-09-27,2128637.74,140.3
2022-09-23,8198338.01,542.49
2022-09-22,1105532.26,73.57
2022-09-21,2558882.69,169.92
2022-09-20,2129550.33,141.8
2022-09-18,5255970.69,351.49
2022-09-16,2451969.97,163.47
2022-09-16,7326210.88,488.43
2022-09-15,1107016.34,74.08
2022-09-14,1106821.11,74.17
2022-09-12,5620163.59,378.18
2022-09-11,1104717.88,74.49
2022-09-03,1083731.8,72.77
2022-09-01,1053455.82,70.69
2022-08-31,4740577.69,319.02
2022-08-29,1279992.02,85.89
2022-08-27,2429028.88,163.54
2022-08-26,2431268.73,163.69
2022-08-25,845977.09,57.25
2022-08-23,1216357.39,81.85
2022-08-22,1109814.09,74.3
2022-08-19,852682.25,57.32
2022-08-16,4145181.96,281.03
2022-08-15,8212836.22,555.8
2022-08-14,3527884.87,240.51
2022-08-13,1209886.43,82.52
2022-08-12,2425943.21,165.46
2022-08-09,1698670.19,114.31
2022-08-08,4838239.47,326.21
2022-08-06,2443291.4,163.47
2022-08-04,2421932.28,162.65
2022-08-03,1086106.15,72.86
2022-08-01,2441753.41,164.48
2022-08-01,2434033.86,163.96
2022-07-31,850090.92,57.31
2022-07-30,2543398.21,171.67
2022-07-28,4837371.08,325.75
2022-07-27,2347666.74,157.34
2022-07-24,2931257.19,195.18
2022-07-19,4148443.33,277.28
2022-07-19,4874510.68,325.81
2022-07-15,5506934.16,367.21
2022-07-13,8360128.24,556.2
2022-07-12,4149622.88,276.37
2022-07-11,681492.95,45.4
2022-07-10,3659270.64,244.32
2022-07-06,4249301.48,283.0
2022-07-06,7317207.05,487.32
2022-07-04,2429798.81,161.8
2022-07-02,2551220.36,170.36
2022-06-30,2562614.85,171.65
2022-06-28,127956.65,8.61
2022-06-27,2377707.94,160.49
2022-06-25,2548050.59,171.82
2022-06-22,7361938.94,495.86
2022-06-21,850280.2,57.32
2022-06-19,3422539.32,230.89
2022-06-17,2447578.94,164.94
2022-06-16,1110400.53,74.98
2022-06-14,6604492.75,447.32
2022-06-13,2227505.2,150.33
2022-06-08,4437402.72,305.74
2022-06-07,8302499.84,573.94
2022-06-06,1275597.95,88.35
2022-06-05,1275621.62,88.35
2022-06-04,5558285.51,385.09
2022-06-03,1102657.12,76.33
2022-06-03,3126963.96,216.46
2022-05-31,3658645.64,251.52
2022-05-29,1278293.7,87.69
2022-05-25,6859182.43,469.06
2022-05-22,6577385.45,448.9
2022-05-19,4316155.19,294.96
2022-05-17,2883161.36,197.06
2022-05-15,1439984.25,98.54
2022-05-13,1109204.77,75.63
2022-05-12,2130774.3,145.62
2022-05-11,6049464.89,415.88
2022-05-07,680724.65,46.95
2022-05-04,2610030.27,180.87
2022-04-29,2566365.32,176.68
2022-04-22,3255264.89,224.96
2022-04-14,3405437.17,236.75
2022-04-10,1868544.65,130.1
2022-04-01,15075702.35,1048.99
